Id;Marker;Active;X;Y;Z
0;2;1;0.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
1;2;1;3.5355338217215095e+00;1.0130785099704553e-15;0.0000000000000000e+00
2;2;1;3.5355337874108588e+00;2.3570225890964744e+00;0.0000000000000000e+00
3;2;1;7.5804043805915988e-09;2.3570226012651645e+00;0.0000000000000000e+00
4;2;1;1.8543476199006648e-09;5.7658391606561521e-01;0.0000000000000000e+00
5;2;1;2.0800404195068691e+00;5.5511151231257827e-16;0.0000000000000000e+00
6;0;1;2.1151591227841232e-01;5.1795204001768336e-01;0.0000000000000000e+00
7;0;1;3.3521159490867891e-01;4.8366379230571849e-01;0.0000000000000000e+00
8;0;1;1.4099316784565923e+00;1.8575308384662059e-01;0.0000000000000000e+00
9;0;1;1.8871664326627764e+00;5.3464364296950673e-02;0.0000000000000000e+00
10;2;1;3.5355338032537196e+00;1.2686730725730853e+00;0.0000000000000000e+00
11;0;1;2.0943046956479745e+00;2.0617074849731490e-01;0.0000000000000000e+00
12;0;1;2.1376853971985486e+00;2.3815185127568803e-01;0.0000000000000000e+00
13;0;1;2.1387026992538010e+00;2.3890182627431167e-01;0.0000000000000000e+00
14;0;1;2.2345242120255202e+00;3.0954332211916136e-01;0.0000000000000000e+00
15;0;1;2.3413215029355299e+00;3.8827637656418884e-01;0.0000000000000000e+00
16;0;1;2.4600756404097117e+00;4.7582425246682269e-01;0.0000000000000000e+00
17;0;1;2.5750410530181331e+00;5.6057900619761736e-01;0.0000000000000000e+00
18;0;1;2.6508407685105349e+00;6.1646004096852358e-01;0.0000000000000000e+00
19;0;1;2.7762345047921038e+00;7.0890275914609546e-01;0.0000000000000000e+00
20;0;1;2.8432311695860704e+00;7.5829401253756357e-01;0.0000000000000000e+00
21;0;1;3.4517584544032860e+00;1.2069122446907541e+00;0.0000000000000000e+00
22;2;1;3.5355337903192301e+00;2.1572275557136447e+00;0.0000000000000000e+00
23;0;1;3.1038529036714140e+00;1.9314860693452975e+00;0.0000000000000000e+00
24;0;1;2.6315482717016723e+00;1.6845009631307413e+00;0.0000000000000000e+00
25;0;1;2.3041916345247953e+00;1.5133143849555970e+00;0.0000000000000000e+00
26;0;1;2.2272498520444808e+00;1.4730787551694060e+00;0.0000000000000000e+00
27;0;1;2.1915091550528762e+00;1.4543886572005613e+00;0.0000000000000000e+00
28;0;1;1.9543090996102959e+00;1.3303482033874010e+00;0.0000000000000000e+00
29;0;1;1.8598288684546722e+00;1.2809410869891811e+00;0.0000000000000000e+00
30;0;1;1.8206193946448963e+00;1.2604370406639593e+00;0.0000000000000000e+00
31;0;1;1.7776480583129837e+00;1.2379657809097275e+00;0.0000000000000000e+00
32;0;1;1.7685144508252053e+00;1.2331894885280863e+00;0.0000000000000000e+00
33;0;1;1.7348480802286366e+00;1.2155841305561050e+00;0.0000000000000000e+00
34;0;1;1.6609879375780991e+00;1.1769600012489549e+00;0.0000000000000000e+00
35;0;1;5.5847096325525802e-01;6.0041415864133185e-01;0.0000000000000000e+00
36;2;1;3.5327816586370329e+00;9.9920072216264089e-16;0.0000000000000000e+00
37;0;1;3.1059988779366656e+00;2.9831311079983275e-01;0.0000000000000000e+00
38;0;1;2.5511754023576092e+00;6.8612425133636679e-01;0.0000000000000000e+00
39;0;1;2.5364177919433022e+00;6.9643954255650309e-01;0.0000000000000000e+00
40;0;1;2.4068652671461686e+00;7.8699431287967236e-01;0.0000000000000000e+00
41;0;1;2.2720510543939296e+00;8.8122690380134316e-01;0.0000000000000000e+00
42;0;1;2.1885577753059100e+00;9.3958713045986020e-01;0.0000000000000000e+00
43;0;1;2.0796979744760629e+00;1.0156780771782592e+00;0.0000000000000000e+00
44;0;1;1.9187554741459347e+00;1.1281738481055568e+00;0.0000000000000000e+00
45;0;1;1.8043588218012616e+00;1.2081349495586757e+00;0.0000000000000000e+00
46;2;1;1.6069835660445353e-01;2.3570226007120687e+00;0.0000000000000000e+00
47;0;1;1.7109228464639523e+00;1.2734449332879820e+00;0.0000000000000000e+00
48;0;1;1.6334541357544190e+00;1.3275941003267477e+00;0.0000000000000000e+00
49;0;1;1.5860898971780075e+00;1.3607008093818973e+00;0.0000000000000000e+00
50;0;1;1.5144373172539451e+00;1.4107846107454471e+00;0.0000000000000000e+00
51;0;1;1.1734756542422693e+00;1.6491103796285811e+00;0.0000000000000000e+00
52;0;1;9.9770224279681452e-01;1.7719726775829261e+00;0.0000000000000000e+00
53;0;1;1.6243983808327238e+00;1.2630325293359160e-01;0.0000000000000000e+00
54;0;1;1.7745275237876366e+00;2.5306770050657718e-01;0.0000000000000000e+00
55;0;1;1.8224640324805645e+00;2.9354381942281982e-01;0.0000000000000000e+00
56;0;1;2.0401164599226722e+00;4.7732285915199607e-01;0.0000000000000000e+00
57;0;1;2.1379446133735116e+00;5.5992595396221101e-01;0.0000000000000000e+00
58;0;1;2.1625278740322695e+00;5.8068330590343975e-01;0.0000000000000000e+00
59;0;1;2.2514799420710907e+00;6.5579170620118998e-01;0.0000000000000000e+00
60;0;1;2.2785015382223630e+00;6.7860791390901065e-01;0.0000000000000000e+00
61;0;1;2.2981876901185747e+00;6.9523029728403973e-01;0.0000000000000000e+00
62;2;1;3.5355337963926114e+00;1.7400074306985638e+00;0.0000000000000000e+00
63;0;1;2.4905793865212984e+00;8.5767994984380480e-01;0.0000000000000000e+00
64;0;1;2.5458284522837498e+00;9.0433056785475308e-01;0.0000000000000000e+00
65;0;1;2.9528829970788104e+00;1.2480349512103261e+00;0.0000000000000000e+00
