Id;Marker;Active;Origin;End
0;2;1;3;4
1;2;1;4;0
2;2;1;0;5
3;0;1;4;6
4;0;1;6;7
5;0;1;7;8
6;0;1;9;5
7;2;1;1;10
8;0;1;9;11
9;0;1;11;12
10;0;1;12;13
11;0;1;13;14
12;0;1;14;15
13;0;1;15;16
14;0;1;16;17
15;0;1;17;18
16;0;1;18;19
17;0;1;19;20
18;0;1;20;21
19;0;1;21;10
20;2;1;22;2
21;0;1;22;23
22;0;1;23;24
23;0;1;24;25
24;0;1;25;26
25;0;1;26;27
26;0;1;27;28
27;0;1;28;29
28;0;1;29;30
29;0;1;30;31
30;0;1;31;32
31;0;1;32;33
32;0;1;33;34
33;0;1;34;35
34;0;1;35;7
35;2;1;5;36
36;2;1;36;1
37;0;1;36;37
38;0;1;37;18
39;0;1;18;38
40;0;1;38;39
41;0;1;39;40
42;0;1;40;41
43;0;1;41;42
44;0;1;42;43
45;0;1;43;44
46;0;1;44;45
47;0;1;45;32
48;2;1;46;3
49;2;1;2;46
50;0;1;32;47
51;0;1;47;48
52;0;1;48;49
53;0;1;49;50
54;0;1;50;51
55;0;1;51;52
56;0;1;52;46
57;0;1;8;53
58;0;1;53;9
59;0;1;53;54
60;0;1;54;55
61;0;1;55;56
62;0;1;56;57
63;0;1;57;58
64;0;1;58;59
65;0;1;59;60
66;0;1;60;61
67;0;1;61;40
68;2;1;62;22
69;2;1;10;62
70;0;1;40;63
71;0;1;63;64
72;0;1;64;65
73;0;1;65;62
