Id;Marker;Active;X;Y;Z
0;1;1;0.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
1;2;1;1.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
2;3;1;1.0000000000000000e+00;1.0000000000000000e+00;0.0000000000000000e+00
3;4;1;0.0000000000000000e+00;1.0000000000000000e+00;0.0000000000000000e+00
4;0;1;5.0000000000000000e-01;5.0000000000000000e-01;0.0000000000000000e+00
5;8;1;0.0000000000000000e+00;5.0000000000000000e-01;0.0000000000000000e+00
6;5;1;5.0000000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
7;6;1;1.0000000000000000e+00;5.0000000000000000e-01;0.0000000000000000e+00
8;7;1;5.0000000000000000e-01;1.0000000000000000e+00;0.0000000000000000e+00
9;0;1;7.5000000000000000e-01;2.5000000000000000e-01;0.0000000000000000e+00
10;0;1;2.5000000000000000e-01;7.5000000000000000e-01;0.0000000000000000e+00
11;0;1;7.5000000000000000e-01;7.5000000000000000e-01;0.0000000000000000e+00
12;0;1;5.0000000000000000e-01;2.5000000000000000e-01;0.0000000000000000e+00
13;0;1;2.5000000000000000e-01;3.7500000000000000e-01;0.0000000000000000e+00
14;0;1;3.1250000000000000e-01;5.6250000000000000e-01;0.0000000000000000e+00
15;8;1;0.0000000000000000e+00;2.5000000000000000e-01;0.0000000000000000e+00
16;5;1;7.5000000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
17;6;1;1.0000000000000000e+00;2.5000000000000000e-01;0.0000000000000000e+00
18;0;1;7.5000000000000000e-01;5.0000000000000000e-01;0.0000000000000000e+00
19;0;1;5.0000000000000000e-01;7.5000000000000000e-01;0.0000000000000000e+00
20;7;1;2.5000000000000000e-01;1.0000000000000000e+00;0.0000000000000000e+00
21;8;1;0.0000000000000000e+00;7.5000000000000000e-01;0.0000000000000000e+00
22;6;1;1.0000000000000000e+00;7.5000000000000000e-01;0.0000000000000000e+00
23;7;1;7.5000000000000000e-01;1.0000000000000000e+00;0.0000000000000000e+00
24;5;1;2.5000000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
25;0;1;3.1250000000000000e-01;1.8750000000000000e-01;0.0000000000000000e+00
