Id;Num2DNeighbours;2DNeighbours;Num3DNeighbours;3DNeighbours
0;2;23;0;0
1;2;25;0;0
2;2;6;0;0
3;2;33;1;0
4;2;5;1;0
5;2;4;1;0
6;2;7;2;0
7;2;27;2;0
8;2;26;2;0
9;2;21;3;0
10;2;17;3;0
11;2;19;3;0
12;2;14;4;0
13;2;31;4;0
14;2;20;5;0
15;2;15;5;0
16;2;15;6;0
17;2;24;6;0
18;2;25;7;0
19;2;12;7;0
20;2;34;8;0
21;2;24;8;0
22;2;22;8;0
23;2;34;9;0
24;2;22;9;0
25;2;20;9;0
26;2;34;10;0
27;2;19;10;0
28;2;28;10;0
29;2;34;11;0
30;2;28;11;0
31;2;27;11;0
32;2;34;12;0
33;2;30;12;0
34;2;34;13;0
35;2;30;13;0
36;2;29;13;0
37;2;15;14;0
38;2;17;14;0
39;2;34;16;0
40;2;32;16;0
41;2;34;16;0
42;2;18;17;0
43;2;26;18;0
44;2;25;18;0
45;2;26;19;0
46;2;34;20;0
47;2;34;21;0
48;2;31;21;0
49;2;34;22;0
50;2;29;23;0
51;2;24;23;0
52;2;34;27;0
53;2;34;28;0
54;2;34;29;0
55;2;34;30;0
56;2;32;31;0
57;2;33;32;0
58;2;34;33;0
