Id;Marker;Active;Origin;End
0;0;1;18;11
1;0;1;11;4
2;0;1;4;18
3;0;1;25;6
4;0;1;6;12
5;0;1;12;25
6;0;1;19;8
7;0;1;8;10
8;0;1;10;19
9;0;1;5;13
10;0;1;13;14
11;0;1;14;5
12;0;1;12;13
13;0;1;13;25
14;0;1;6;9
15;0;1;9;12
16;0;1;4;9
17;0;1;9;18
18;0;1;19;11
19;0;1;11;8
20;6;1;17;7
21;0;1;7;9
22;0;1;9;17
23;5;1;16;1
24;0;1;1;9
25;0;1;9;16
26;8;1;21;5
27;0;1;5;10
28;0;1;10;21
29;7;1;20;3
30;0;1;3;10
31;0;1;10;20
32;7;1;23;8
33;0;1;11;23
34;6;1;22;2
35;0;1;2;11
36;0;1;11;22
37;0;1;12;4
38;0;1;4;13
39;5;1;0;24
40;0;1;24;15
41;8;1;15;0
42;0;1;4;14
43;0;1;19;14
44;0;1;4;19
45;0;1;14;10
46;5;1;6;16
47;8;1;5;15
48;0;1;15;13
49;6;1;1;17
50;0;1;7;11
51;0;1;18;7
52;7;1;8;20
53;8;1;3;21
54;6;1;7;22
55;7;1;2;23
56;0;1;15;25
57;0;1;24;25
58;5;1;24;6
